Gebietsart;Gebietsnummer;Wahlberechtigte ohne Wahlschein;Wahlberechtigte mit Wahlschein;Wahlberechtigte nicht im Wählerverzeichnis;Wähler ohne Wahlschein;Wähler mit Wahlschein;Briefwähler in Urnenwahlgebiet erfasst;Stimmabgabeart;Zeilenart;Gruppe-Schluessel;201 (Färber);202 (Scherzl);203 (Maurer);204 (Kiran);205 (Mágori);206 (Lechner);207 (Streu-Schütze);208 (Dusi-Färber);209 (Ried);210 (Kampouridis);211 (Einhellig);212 (Meier);213 (Feuchter);214 (Ebbinghaus-Guschke);215 (Reiser);216 (Dieminger);217 (Götz-Einhellig);218 (Sandmann);219 (Röhrich);220 (Klinger);221 (Reischenbeck);222 (Meier);223 (Blecher);224 (Kaiser-Röhrich);225 (Steinbacher);226 (Rothmoser);227 (Reith);228 (Martl);229 (Daimer);230 (Reith);231 (Richter);232 (Reitsberger)
STIMMBEZIRK;0008;463;403;0;192;1;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;19;18;15;15;15;27;21;18;21;15;23;12;10;10;10;10;17;10;5;15;5;5;5;5;5;7;5;5;5;5;5;8
STIMMBEZIRK;0009;503;435;0;219;1;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;32;25;38;27;27;40;31;30;30;26;40;20;28;13;24;15;16;15;6;22;5;6;5;7;7;21;7;6;6;6;7;13
STIMMBEZIRK;0010;493;457;0;237;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;36;32;39;30;30;44;36;30;33;41;41;21;26;23;20;21;21;21;9;15;12;9;8;8;11;23;8;11;9;8;8;14
STIMMBEZIRK;0011;391;238;0;197;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;24;21;27;21;21;36;29;21;21;21;31;17;14;14;14;14;23;14;7;30;7;7;7;6;6;32;6;6;6;6;6;15
STIMMBEZIRK;0012;454;354;0;200;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;41;33;48;40;36;39;36;31;34;37;48;18;24;21;21;18;21;18;10;41;10;9;10;9;9;14;8;8;8;7;6;6
STIMMBEZIRK;0013;327;297;0;175;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;43;45;50;43;39;74;54;42;46;42;52;27;33;26;28;26;29;26;14;31;13;14;13;14;13;22;13;13;13;13;13;16
STIMMBEZIRK;091751230001;536;585;0;217;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;73;75;160;69;66;85;72;76;72;75;44;43;42;42;102;41;38;38;19;19;78;18;18;17;17;18;16;15;42;14;14;19
STIMMBEZIRK;091751230002;568;445;0;190;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;39;39;88;35;37;33;42;33;36;33;28;24;22;22;62;22;22;25;17;14;40;11;11;11;14;11;11;11;31;11;11;13
STIMMBEZIRK;091751230003;329;351;0;121;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;34;31;70;28;30;24;24;27;24;27;16;16;16;16;27;16;19;16;8;8;23;8;8;8;8;8;8;8;14;8;8;8
STIMMBEZIRK;091751240001;615;394;0;246;1;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;61;54;60;57;57;54;52;57;51;63;42;36;36;36;36;37;36;33;18;18;15;15;15;15;15;15;15;15;15;15;15;18
STIMMBEZIRK;091751240002;519;340;0;221;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;49;46;46;43;43;46;43;42;45;51;29;34;28;28;31;29;28;28;14;18;14;13;13;13;13;14;13;13;13;13;13;13
STIMMBEZIRK;091751240003;829;393;0;283;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;37;36;36;33;30;37;35;33;35;31;22;21;22;21;21;21;21;22;10;10;11;10;10;10;10;10;10;11;10;10;10;11
STIMMBEZIRK;091751240004;705;402;0;314;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;50;54;50;52;49;50;56;53;49;57;35;33;32;33;33;31;33;31;16;18;15;15;15;15;14;14;14;14;14;14;15;13
STIMMBEZIRK;091751240005;502;314;0;228;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;37;34;37;35;35;43;35;38;30;33;32;22;21;20;21;20;20;21;10;10;12;10;10;11;10;11;10;10;10;10;10;10
STIMMBEZIRK;091751240006;566;329;0;219;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;38;36;33;36;34;30;32;35;33;34;20;23;20;23;21;18;18;19;9;9;9;9;9;9;9;10;9;9;9;9;9;13
STIMMBEZIRK;091751240007;590;219;0;189;2;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;36;31;28;32;27;30;31;35;31;37;20;20;23;22;22;19;19;19;11;18;9;9;9;8;11;8;12;9;9;11;8;9
STIMMBEZIRK;091751240008;669;356;0;230;3;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;39;38;46;37;31;44;30;27;34;29;19;22;16;17;18;14;15;15;7;7;7;7;10;7;7;11;7;7;10;7;7;14
STIMMBEZIRK;091751270001;666;282;0;196;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;46;51;49;47;47;47;48;42;48;49;28;28;29;29;30;31;27;40;14;14;14;14;13;13;13;13;13;12;12;12;16;12
STIMMBEZIRK;091751270002;683;272;0;153;1;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;6;6;7;9;12;9;9;12;8;7;8;5;12;4;5;4;4;7;6;2;6;2;2;2;5;2;2;9;2;2;2;2
STIMMBEZIRK;091751270003;628;324;0;231;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;54;57;57;51;44;47;44;45;47;48;28;29;30;32;31;26;29;38;15;19;11;15;14;20;11;14;18;11;14;14;11;14
STIMMBEZIRK;091751270004;656;327;0;213;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;43;54;54;36;39;46;39;39;39;36;28;22;28;20;20;23;20;37;16;13;13;10;10;11;10;10;10;10;13;12;12;12
STIMMBEZIRK;091751270005;664;329;0;302;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;37;35;34;34;36;34;31;34;31;37;23;26;23;20;26;23;21;35;10;10;11;11;10;11;10;11;11;10;11;10;10;10
STIMMBEZIRK;091751270006;535;445;0;238;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;48;54;43;43;43;48;37;40;43;43;24;25;24;33;28;27;24;33;17;12;12;12;11;14;11;11;11;14;14;9;9;12
STIMMBEZIRK;091751270007;567;393;0;240;1;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;52;59;55;45;48;49;45;46;49;58;32;31;32;32;32;37;31;40;15;18;15;13;19;13;16;12;15;12;12;15;12;16
STIMMBEZIRK;091751270008;654;313;0;219;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;35;44;41;40;33;39;40;39;35;37;24;20;18;19;25;23;20;32;12;10;9;11;9;14;9;12;10;9;9;10;9;12
STIMMBEZIRK;091751270009;580;393;0;232;1;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;60;54;64;60;48;57;51;48;51;48;35;32;32;34;32;32;32;46;19;16;16;17;16;20;16;16;17;19;19;17;16;19
STIMMBEZIRK;091751270010;610;362;0;209;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;49;44;58;44;45;43;44;41;42;51;29;29;28;35;31;29;23;46;21;12;14;13;13;14;10;10;13;13;14;11;17;15
STIMMBEZIRK;091751320001;622;348;0;244;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;49;43;37;65;40;43;44;44;42;46;28;34;29;27;25;22;25;26;11;11;11;14;14;11;17;11;14;11;14;18;11;17
STIMMBEZIRK;091751320002;396;329;0;149;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;15;15;12;15;9;9;9;15;9;12;6;12;6;6;6;9;6;6;3;3;3;3;3;3;3;3;6;3;3;3;3;6
STIMMBEZIRK;091751320003;635;439;0;315;2;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;63;63;78;75;60;59;54;63;60;60;38;44;32;32;37;35;35;34;19;19;16;22;17;19;21;16;19;19;16;19;19;43
STIMMBEZIRK;091751320004;457;326;0;226;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;69;48;51;65;48;48;48;68;48;56;33;36;33;30;31;30;30;30;15;18;15;18;18;15;18;15;18;13;13;16;13;29
STIMMBEZIRK;091751320005;585;315;0;181;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;34;17;21;33;18;17;18;30;15;29;8;8;10;12;14;10;8;8;4;4;4;7;4;4;13;5;5;4;4;4;3;9
STIMMBEZIRK;091751320006;509;344;0;239;1;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;69;48;55;85;51;61;46;65;46;52;34;39;33;36;38;33;28;29;14;14;14;22;14;14;17;14;19;13;13;17;13;38
STIMMBEZIRK;091751320007;583;372;0;264;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;57;39;37;60;28;35;30;46;27;57;16;36;19;16;16;19;16;16;8;11;8;12;9;8;15;8;18;8;8;14;7;38
STIMMBEZIRK;091751320008;437;370;0;200;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;34;30;30;37;33;30;30;33;30;33;20;20;23;20;20;21;20;20;10;10;10;10;10;10;11;10;9;9;9;12;9;17
STIMMBEZIRK;091751320009;399;323;0;218;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;65;54;52;65;47;46;49;55;43;53;29;35;32;30;29;30;32;30;20;13;15;13;12;13;15;12;12;12;12;18;15;28
STIMMBEZIRK;091751320010;475;393;0;235;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;63;45;39;58;36;37;40;64;37;52;27;33;25;24;25;24;24;25;12;12;12;17;12;12;24;12;16;12;13;16;12;25
STIMMBEZIRK;091751320011;427;326;0;192;1;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;52;30;30;54;21;27;20;34;16;58;12;27;15;15;12;15;12;12;6;6;6;16;12;6;15;6;11;5;5;11;5;26
STIMMBEZIRK;091751320012;350;285;0;146;2;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;37;30;30;36;27;27;24;30;24;43;19;22;16;16;21;19;14;14;7;7;8;8;11;13;11;11;14;11;11;11;11;15
STIMMBEZIRK;091751320013;377;340;0;208;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;41;21;24;55;15;23;15;33;15;40;11;22;11;10;13;10;10;10;5;6;5;11;11;5;8;8;8;5;5;14;5;17
STIMMBEZIRK;091751320014;446;359;0;228;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;54;42;46;69;36;42;36;42;36;63;24;24;24;24;24;24;24;24;12;12;11;14;12;11;12;11;14;11;11;10;13;22
STIMMBEZIRK;091751320015;324;302;0;183;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;33;30;31;33;24;24;24;31;25;30;19;23;16;19;19;16;16;16;8;8;8;8;11;8;8;8;10;9;8;8;8;9
STIMMBEZIRK;091751320016;451;252;0;148;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;34;32;31;42;28;29;28;40;27;43;19;20;18;20;24;22;18;19;9;12;9;9;9;13;9;9;9;9;9;9;9;16
STIMMBEZIRK;091751320017;403;405;0;165;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;38;24;23;43;18;18;17;38;17;32;12;14;10;15;11;10;10;11;5;5;5;11;8;6;14;5;13;5;5;13;5;22
STIMMBEZIRK;091751320018;327;321;0;189;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;40;28;30;47;27;31;27;35;27;49;20;28;20;16;20;16;16;16;12;11;8;14;14;9;14;8;11;8;7;10;7;16
STIMMBEZIRK;091751320019;185;0;0;185;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;35;24;21;38;21;21;21;36;21;25;17;16;14;14;14;14;14;14;9;10;6;6;6;8;6;6;6;6;5;5;5;18
STIMMBEZIRK;091751320020;410;361;0;239;3;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;49;34;34;41;33;29;32;35;29;36;20;27;23;25;22;22;22;22;10;13;10;10;10;13;10;10;10;10;10;10;10;14
STIMMBEZIRK;091751320021;347;321;0;171;1;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;33;30;30;36;33;33;33;30;33;37;18;18;20;20;20;18;20;18;10;10;10;10;9;9;9;9;9;9;10;10;9;11
STIMMBEZIRK;091751320022;396;310;0;153;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;18;12;12;24;12;15;15;23;12;36;8;14;11;11;11;11;11;11;7;7;7;13;10;7;7;7;10;7;7;13;7;19
STIMMBEZIRK;091751320023;484;284;0;222;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;51;39;40;55;39;42;43;48;46;48;26;27;26;27;29;26;29;26;13;13;13;18;16;13;16;12;16;12;12;16;12;24
STIMMBEZIRK;091751320024;386;337;0;194;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;54;43;43;51;43;40;40;37;40;40;25;31;25;25;28;25;25;25;15;13;12;12;12;10;10;10;10;10;9;12;7;13
STIMMBEZIRK;091751320025;331;334;0;176;1;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;31;13;20;47;13;19;14;23;13;23;13;19;16;8;11;10;7;7;4;4;4;11;3;4;3;4;16;7;4;9;3;16
STIMMBEZIRK;091751330001;501;460;0;246;1;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;54;55;52;53;46;49;50;47;51;45;28;26;25;25;24;27;23;24;13;11;11;11;14;12;12;10;15;11;11;10;12;12
STIMMBEZIRK;091751330002;578;405;0;343;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;89;99;103;82;84;97;79;84;79;87;48;50;47;46;44;46;42;43;26;19;19;21;20;29;19;19;19;22;19;21;19;29
STIMMBEZIRK;091751330003;568;422;0;296;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;84;87;92;75;75;87;75;78;70;78;45;44;43;43;46;43;41;40;21;21;17;17;17;23;17;17;17;17;17;15;15;22
STIMMBEZIRK;091751330004;501;359;0;284;4;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;71;76;70;67;64;70;61;62;55;67;35;36;38;33;34;40;33;33;23;17;18;17;17;17;17;17;16;16;16;19;21;15
STIMMBEZIRK;091751330005;547;331;0;286;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;89;96;83;82;76;78;75;83;70;83;52;57;46;52;54;58;47;57;46;24;24;22;23;40;23;23;23;26;22;22;28;23
STIMMBEZIRK;091751370001;583;856;0;296;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;51;49;108;49;48;109;69;54;59;50;34;34;30;29;30;27;30;27;14;15;14;15;14;13;13;17;13;13;14;14;16;13
STIMMBEZIRK;091751370002;913;813;0;442;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;59;58;58;57;53;79;52;57;55;59;38;31;41;33;42;27;36;28;15;20;12;14;13;17;13;17;12;12;12;13;15;17
STIMMBEZIRK;091751390001;661;437;0;314;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;80;77;70;87;69;78;73;80;71;77;50;41;41;46;48;40;46;40;20;20;19;19;19;21;22;22;19;20;19;25;18;32
STIMMBEZIRK;091751390002;616;509;0;310;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;82;68;75;73;68;85;77;79;70;83;44;49;41;40;44;41;41;41;24;24;23;23;20;19;19;22;24;18;18;18;17;21
STIMMBEZIRK;091751390003;408;421;0;246;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;45;39;42;43;38;42;36;36;36;40;23;24;20;20;25;22;23;23;13;13;12;13;10;15;10;10;12;9;9;9;9;12
STIMMBEZIRK;091751390004;521;362;0;274;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;25;24;27;30;25;27;29;28;29;37;17;18;16;21;17;18;15;14;12;7;7;7;8;9;9;7;8;8;7;7;8;13
STIMMBEZIRK;091751390005;521;355;0;283;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;47;42;46;49;42;52;43;50;45;47;31;31;28;30;28;26;26;26;13;13;13;16;13;13;13;13;13;13;13;13;13;15
STIMMBEZIRK;091751390006;468;0;0;242;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;50;44;53;51;40;51;37;43;40;37;24;24;24;25;28;25;24;24;16;12;12;12;15;12;13;11;17;11;11;15;9;15
STIMMBEZIRK;091751390007;464;385;0;262;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;32;28;21;27;24;28;24;43;24;30;17;26;15;20;17;17;12;15;6;7;6;6;6;10;7;6;7;7;6;9;6;9
STIMMBEZIRK;091751390008;482;382;0;287;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;42;33;33;33;33;33;33;34;30;39;20;20;20;21;20;20;20;20;10;10;14;11;11;10;10;10;10;10;10;14;10;19
STIMMBEZIRK;091751120001;1011;870;0;567;1;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;92;94;108;93;93;133;175;96;100;100;85;64;69;66;61;57;70;56;34;48;29;32;28;29;30;31;27;28;26;26;30;34
